raw_description,amount,currency,direction,transaction_type,merchant_name,mcc,label,source
CARD NEXT LONDON,216.94,GBP,debit,CARD,NEXT,5691,Shopping,synthetic
PACKAGED ACCOUNT FEE,11.83,GBP,debit,SO,BARCLAYS,6012,Fees,synthetic
POS HAIRDRESSERS *,81.06,GBP,debit,POS,HAIRDRESSERS,5999,Other,synthetic
DIRECT DEBIT EDF ENERGY,199.88,GBP,debit,DD,EDF ENERGY,4812,Utilities,synthetic
CASH WITHDRAWAL FEE,45.16,GBP,debit,SO,HSBC,6051,Fees,sandbox
POS CAFE LOCAL OXFORD 20260825,4.50,GBP,debit,POS,CAFE LOCAL,5812,Coffee Shops,synthetic
CARD PAYMENT UCL  20250617,262.65,GBP,debit,CARD,UCL,8220,Education,synthetic
FPS NORTHWIND SERVICES PAYROLL,4916.02,GBP,credit,FPS,NORTHWIND SERVICES,,Salary,synthetic
POS DENTAL REF 18213084,75.62,GBP,debit,POS,DENTAL,8011,Healthcare,synthetic
TFR TO SAVINGS,438.45,GBP,credit,TFR,,,Transfers,synthetic
POS ODEON LONDON 07 FEB,132.62,GBP,debit,POS,ODEON,7832,Entertainment,synthetic
CASH WITHDRAWAL LINK ATM REF 97089084,231.98,GBP,debit,ATM,LINK ATM,6010,Cash Withdrawal,synthetic
FASTER PAYMENT TO SAVINGS 09SEP,4853.96,GBP,credit,FPS,,,Transfers,synthetic
PAYPAL DROPBOX 30462 //,20.22,GBP,debit,PAYPAL,DROPBOX,5734,Subscriptions,synthetic
FASTER PAYMENT ACME LIMITED SALARY 03 JAN,3047.82,GBP,credit,FPS,ACME LIMITED,,Salary,synthetic
PAYPAL NEWCASTLE COLLEGE LONDON 20250113,41.13,GBP,debit,PAYPAL,NEWCASTLE COLLEGE,8299,Education,synthetic
BACS ACME LIMITED PAYROLL,1942.89,GBP,credit,BACS,ACME LIMITED,,Salary,synthetic
DIRECT DEBIT PRUDENTIAL,364.81,GBP,debit,DD,PRUDENTIAL,6300,Insurance,synthetic
STANDING ORDER THAMES WATER REF 95539887,74.61,GBP,debit,SO,THAMES WATER,4812,Utilities,synthetic
CARD PRIME VIDEO REF 74836671,34.78,GBP,debit,CARD,PRIME VIDEO,5734,Subscriptions,synthetic
ATM CASH MACHINE REF 74165645,474.86,GBP,debit,ATM,CASH MACHINE,6010,Cash Withdrawal,synthetic
CARD PAYMENT PRET,5.03,GBP,debit,CARD,PRET,5814,Coffee Shops,synthetic
CARD NHS PRESCRIPTION *,32.92,GBP,debit,CARD,NHS PRESCRIPTION,8049,Healthcare,synthetic
PAYPAL NEWCASTLE COLLEGE,175.79,GBP,debit,PAYPAL,NEWCASTLE COLLEGE,8220,Education,synthetic
CARD PAYMENT EBAY 85247 18FEB,176.26,GBP,debit,CARD,EBAY,5310,Shopping,synthetic
CARD SPORTS DIRECT MANCHESTER,43.10,GBP,debit,CARD,SPORTS DIRECT,5310,Shopping,synthetic
BACS DRY CLEANERS,132.03,GBP,debit,BACS,DRY CLEANERS,7299,Other,synthetic
PAYPAL GOOGLE ONE REF 22226750,16.55,GBP,debit,PAYPAL,GOOGLE ONE,5968,Subscriptions,synthetic
POS BOLT,36.95,GBP,debit,POS,BOLT,4789,Transport,synthetic
PAYPAL ADOBE  45522,13.04,GBP,debit,PAYPAL,ADOBE,5968,Subscriptions,synthetic
FASTER PAYMENT MONTHLY SALARY ACME LIMITED,1270.91,GBP,credit,FPS,ACME LIMITED,,Salary,synthetic
CARD PAYMENT HMRC PAYMENT,57.99,GBP,debit,CARD,,9211,Taxes,synthetic
TFR TO JOINT ACCOUNT 28AUG,1497.26,GBP,credit,TFR,,,Transfers,synthetic
BACS HAIRDRESSERS REF 37767003,169.02,GBP,debit,BACS,HAIRDRESSERS,7299,Other,synthetic
CARD NINTENDO ESHOP 80722 22 APR,68.03,GBP,debit,CARD,NINTENDO ESHOP,7999,Entertainment,synthetic
VISA MURCO,71.62,GBP,debit,CARD,MURCO,5172,Fuel,synthetic
BACS PASSPORT OFFICE LONDON 25048,85.32,GBP,debit,BACS,PASSPORT OFFICE,7299,Other,synthetic
VISA BRITISH AIRWAYS ,729.15,GBP,debit,CARD,BRITISH AIRWAYS,4722,Travel,synthetic
BACS BARCLAYS MORTGAGE 31013 23 APR,1185.11,GBP,debit,BACS,BARCLAYS MORTGAGE,6513,Rent/Mortgage,synthetic
VISA STARBUCKS REF 41702866.,9.53,GBP,debit,CARD,STARBUCKS,5812,Coffee Shops,synthetic
MASTERCARD JET2,140.86,GBP,debit,CARD,JET2,4722,Travel,synthetic
BACS HOUSING ASSOCIATION,2352.71,GBP,debit,BACS,HOUSING ASSOCIATION,9399,Rent/Mortgage,synthetic
VISA BA,408.62,GBP,debit,CARD,BA,4722,Travel,synthetic
CARD PAYMENT JET MANCHESTER 03/10/2026,27.15,GBP,debit,CARD,JET,5172,Fuel,synthetic
FPS INNOTECH LTD PAYROLL REF 50109750,4272.71,GBP,credit,FPS,INNOTECH LTD,,Salary,synthetic
ACCOUNT FEE HALIFAX,6.17,GBP,debit,SO,HALIFAX,6012,Fees,synthetic
CARD MCDONALDS GLASGOW,64.60,GBP,debit,CARD,MCDONALDS,5814,Dining,synthetic
BACS CANCER RESEARCH UK ,49.29,GBP,debit,BACS,CANCER RESEARCH UK,8398,Charity,synthetic
CARD POST OFFICE LONDON 06MAY,33.12,GBP,debit,CARD,POST OFFICE,7299,Other,synthetic
POS CAFFE NERO REF 35579048,15.51,GBP,debit,POS,CAFFE NERO,5814,Coffee Shops,sandbox
PAYPAL JOHN LEWIS MANCHESTER,105.17,GBP,debit,PAYPAL,JOHN LEWIS,5691,Shopping,synthetic
CARD RED CROSS 5049,36.56,GBP,debit,CARD,RED CROSS,8398,Charity,synthetic
FASTER PAYMENT SALARY NORTHWIND SERVICES,4080.59,GBP,credit,FPS,NORTHWIND SERVICES,,Salary,synthetic
PAYPAL KINGS COLLEGE LONDON LONDON 27668,468.69,GBP,debit,PAYPAL,KINGS COLLEGE LONDON,8299,Education,synthetic
MONTHLY ACCOUNT FEE,43.69,GBP,debit,SO,,6051,Fees,synthetic
FPS SELF ASSESSMENT TAX,237.02,GBP,debit,FPS,HMRC,9211,Taxes,synthetic
POS PRET A MANGER REF 66615250,6.16,GBP,debit,POS,PRET A MANGER,5812,Coffee Shops,synthetic
BACS MONTHLY RENT 93048 04/02/2025 *,1410.52,GBP,debit,BACS,MONTHLY RENT,9399,Rent/Mortgage,synthetic
BACS BHF,28.20,GBP,debit,BACS,BHF,8398,Charity,synthetic
SQ PRET  20/02/2024,14.61,GBP,debit,SQUARE,PRET,5814,Coffee Shops,synthetic
BACS CHURCHILL,249.92,GBP,debit,BACS,CHURCHILL,6300,Insurance,synthetic
SO HASTINGS 73721 11/03/2023,107.11,GBP,debit,SO,HASTINGS,5960,Insurance,synthetic
CARD PAYMENT TRAINLINE MANCHESTER,81.68,GBP,debit,CARD,TRAINLINE,4789,Transport,synthetic
APPLE PAY TESCO EXPRESS MANCHESTER 60432,62.60,GBP,debit,APPLE_PAY,TESCO EXPRESS,5300,Groceries,synthetic
STANDING ORDER HASTINGS 9790.,283.89,GBP,debit,SO,HASTINGS,5960,Insurance,synthetic
POS DRY CLEANERS 365,14.11,GBP,debit,POS,DRY CLEANERS,5999,Other,synthetic
VISA PRET //,13.22,GBP,debit,CARD,PRET,5814,Coffee Shops,synthetic
SO UNITED UTILITIES,263.87,GBP,debit,SO,UNITED UTILITIES,4814,Utilities,synthetic
STRIPE ETSY MANCHESTER 86290,245.24,GBP,debit,STRIPE,ETSY,5691,Shopping,synthetic
LATE PAYMENT FEE,15.96,GBP,debit,SO,LLOYDS,6012,Fees,synthetic
BACS SALARY NORTHWIND SERVICES,3217.52,GBP,credit,BACS,NORTHWIND SERVICES,,Salary,synthetic
LINK ATM CASH MACHINE 11597 20231124,417.78,GBP,debit,ATM,CASH MACHINE,6010,Cash Withdrawal,synthetic
APPLE PAY DOMINO'S ,84.58,GBP,debit,APPLE_PAY,DOMINO'S,5812,Dining,synthetic
CARD ESSO MANCHESTER,33.24,GBP,debit,CARD,ESSO,5172,Fuel,synthetic
BACS CLARION HOUSING  59989,988.69,GBP,debit,BACS,CLARION HOUSING,6513,Rent/Mortgage,synthetic
SO VODAFONE REF 90003444,245.43,GBP,debit,SO,VODAFONE,4900,Utilities,synthetic
POS DOMINO'S 99777.,77.62,GBP,debit,POS,DOMINO'S,5814,Dining,sandbox
CARD PAYMENT NHS  22/12/2023,100.85,GBP,debit,CARD,NHS,8021,Healthcare,synthetic
BACS GLOBEX CORP PAYROLL 02 APR,3614.39,GBP,credit,BACS,GLOBEX CORP,,Salary,synthetic
CARD SPOTIFY PREMIUM  94999,20.50,GBP,debit,CARD,SPOTIFY PREMIUM,5968,Subscriptions,synthetic
BACS VISION EXPRESS MANCHESTER,124.05,GBP,debit,BACS,VISION EXPRESS,5912,Healthcare,synthetic
BACS JOHN SMITH 20-45-67 12345678 RENT SEPTEMBER,2051.23,GBP,debit,BACS,MONTHLY RENT,6513,Rent/Mortgage,synthetic
DD INCOME TAX PAYMENT,210.30,GBP,debit,DD,HMRC,9399,Taxes,synthetic
CARD PAYMENT MORRISONS LEEDS 52064 //,110.34,GBP,debit,CARD,MORRISONS,5499,Groceries,synthetic
PAYPAL VUE LONDON 13/11/2026,97.93,GBP,debit,PAYPAL,VUE,7999,Entertainment,synthetic
CARD GREGGS MANCHESTER 10NOV,4.44,GBP,debit,CARD,GREGGS,5814,Coffee Shops,synthetic
CARD PAYMENT UCL.,322.81,GBP,debit,CARD,UCL,8299,Education,synthetic
CARD PAYMENT TEXACO REF 66379776,120.87,GBP,debit,CARD,TEXACO,5541,Fuel,synthetic
VISA CO-OP 87126,17.12,GBP,debit,CARD,CO-OP,5411,Groceries,synthetic
POS TEXACO BIRMINGHAM 22 MAR,32.91,GBP,debit,POS,TEXACO,5541,Fuel,synthetic
MASTERCARD PIZZA HUT CARDIFF,32.18,GBP,debit,CARD,PIZZA HUT,5812,Dining,synthetic
CASH WITHDRAWAL CASH MACHINE 32123 28/08/2024 //,342.73,GBP,debit,ATM,CASH MACHINE,6010,Cash Withdrawal,synthetic
VISA SAINSBURYS REF 94216001,18.46,GBP,debit,CARD,SAINSBURYS,5411,Groceries,synthetic
DD BHF 83588,89.00,GBP,debit,DD,BHF,8398,Charity,synthetic
CARD OPTICIANS MANCHESTER 07JAN,84.01,GBP,debit,CARD,OPTICIANS,5912,Healthcare,synthetic
BACS SUPERDRUG LONDON 25/07/2026,23.87,GBP,debit,BACS,SUPERDRUG,8021,Healthcare,synthetic
MONTHLY ACCOUNT FEE,7.93,GBP,debit,SO,HALIFAX,6012,Fees,synthetic
PAYPAL BOLT 64716 07 MAY,50.60,GBP,debit,PAYPAL,BOLT,4121,Transport,synthetic
BACS INCOME TAX PAYMENT,343.01,GBP,debit,BACS,DVLA,9211,Taxes,synthetic
POS CURRYS 36708,198.84,GBP,debit,POS,CURRYS,5691,Shopping,synthetic
CARD PAYMENT SUBWAY LONDON,43.41,GBP,debit,CARD,SUBWAY,5814,Dining,synthetic
CARD PAYMENT VUE CINEMA LONDON 28SEP,136.30,GBP,debit,CARD,VUE CINEMA,7832,Entertainment,synthetic
BACS CHURCHILL 12730,371.46,GBP,debit,BACS,CHURCHILL,6300,Insurance,synthetic
DD DVLA VEHICLE TAX,388.72,GBP,debit,DD,HMRC,9399,Taxes,synthetic
POS COSTA COFFEE,5.01,GBP,debit,POS,COSTA COFFEE,5814,Coffee Shops,synthetic
STANDING ORDER CHURCHILL ,50.05,GBP,debit,SO,CHURCHILL,6300,Insurance,synthetic
APPLE PAY UBER TRIP 26324 20261125,24.53,GBP,debit,APPLE_PAY,UBER TRIP,4789,Transport,synthetic
APPLE PAY GETT REF 37670356,54.21,GBP,debit,APPLE_PAY,GETT,4111,Transport,synthetic
BACS LANDLORD ,1838.83,GBP,debit,BACS,LANDLORD,9399,Rent/Mortgage,synthetic
CARD PAYMENT GETT LEEDS,14.28,GBP,debit,CARD,GETT,4111,Transport,synthetic
CASH WITHDRAWAL LINK ATM 59506 26FEB,220.91,GBP,debit,ATM,LINK ATM,6011,Cash Withdrawal,synthetic
MASTERCARD ESSO BIRMINGHAM 20230204,20.01,GBP,debit,CARD,ESSO,5172,Fuel,synthetic
SQ CAFE LOCAL 72220 24/05/2025 *,6.55,GBP,debit,SQUARE,CAFE LOCAL,5814,Coffee Shops,synthetic
CARD TUI,802.76,GBP,debit,CARD,TUI,4411,Travel,synthetic
FPS SALARY NORTHWIND SERVICES 10 OCT,3702.42,GBP,credit,FPS,NORTHWIND SERVICES,,Salary,synthetic
PAYPAL TFL TRAVEL CHARGE LEEDS 63078,14.47,GBP,debit,PAYPAL,TFL TRAVEL CHARGE,4111,Transport,synthetic
CARD HAIRDRESSERS 98884 23/01/2026,76.77,GBP,debit,CARD,HAIRDRESSERS,7299,Other,synthetic
BACS OXFAM LONDON 22DEC,78.92,GBP,debit,BACS,OXFAM,8398,Charity,synthetic
CARD PAYMENT DENTAL,105.97,GBP,debit,CARD,DENTAL,8011,Healthcare,synthetic
OVERDRAFT INTEREST CHARGE,22.40,GBP,debit,SO,HALIFAX,6051,Fees,synthetic
DD KINGS COLLEGE LONDON 39512,298.52,GBP,debit,DD,KINGS COLLEGE LONDON,8299,Education,synthetic
BACS INCOME TAX PAYMENT,486.16,GBP,debit,BACS,HM REVENUE & CUSTOMS,9399,Taxes,synthetic
POS PASSPORT OFFICE  01 JUL,77.24,GBP,debit,POS,PASSPORT OFFICE,5999,Other,synthetic
BACS CITY LIT LONDON,325.60,GBP,debit,BACS,CITY LIT,8299,Education,synthetic
POS M&S 59187,35.72,GBP,debit,POS,M&S,5499,Groceries,synthetic
DD SUPERDRUG,133.05,GBP,debit,DD,SUPERDRUG,8049,Healthcare,synthetic
CARD PAYMENT HMRC PAYMENT,71.64,GBP,debit,CARD,DVLA,9399,Taxes,synthetic
FOREIGN TRANSACTION FEE,12.17,GBP,debit,DD,LLOYDS,6051,Fees,synthetic
APPLE PAY OCADO REF 35176902,116.86,GBP,debit,APPLE_PAY,OCADO,5411,Groceries,synthetic
APPLE PAY ICELAND ,91.43,GBP,debit,APPLE_PAY,ICELAND,5411,Groceries,synthetic
CARD PAYMENT NHS  09 JAN,19.61,GBP,debit,CARD,NHS,8011,Healthcare,synthetic
CARD NETFLIX.COM ,30.20,GBP,debit,CARD,NETFLIX.COM,4899,Subscriptions,synthetic
PAYPAL OXFAM,98.91,GBP,debit,PAYPAL,OXFAM,8398,Charity,synthetic
PAYPAL ARRIVA REF 28432040,38.63,GBP,debit,PAYPAL,ARRIVA,4121,Transport,synthetic
TRANSFER TO EASY ACCESS SAVER REF 35229926,2690.98,GBP,credit,TFR,,,Transfers,synthetic
FASTER PAYMENT FROM CURRENT ACCOUNT 22JAN REF 60879957,1622.36,GBP,credit,FPS,,,Transfers,synthetic
SQ COSTA 21902 03APR,4.80,GBP,debit,SQUARE,COSTA,5812,Coffee Shops,synthetic
CARD SEE TICKETS,9.25,GBP,debit,CARD,SEE TICKETS,7999,Entertainment,synthetic
APPLE PAY SPOTIFY REF 25872957,14.59,GBP,debit,APPLE_PAY,SPOTIFY,5968,Subscriptions,synthetic
POS OPTICIANS LONDON 43203,70.20,GBP,debit,POS,OPTICIANS,8049,Healthcare,synthetic
SO MONTHLY RENT,1373.26,GBP,debit,SO,MONTHLY RENT,6513,Rent/Mortgage,synthetic
PAYPAL AMAZON LONDON 20241018,211.49,GBP,debit,PAYPAL,AMAZON,5311,Shopping,synthetic
PAYPAL TRANSPORT FOR LONDON LEEDS,66.73,GBP,debit,PAYPAL,TRANSPORT FOR LONDON,4131,Transport,synthetic
STANDING ORDER HASTINGS,170.64,GBP,debit,SO,HASTINGS,6300,Insurance,synthetic
PAYPAL ODEON 41915,90.97,GBP,debit,PAYPAL,ODEON,7922,Entertainment,synthetic
ACCOUNT FEE ,13.60,GBP,debit,DD,,6051,Fees,synthetic
BACS JANE DOE 12-34-56 87654321 RENT AUGUST,1731.08,GBP,debit,BACS,MONTHLY RENT,6513,Rent/Mortgage,synthetic
APPLE PAY NOW TV,5.61,GBP,debit,APPLE_PAY,NOW TV,4899,Subscriptions,synthetic
CARD RNLI REF 42474554,55.89,GBP,debit,CARD,RNLI,8398,Charity,synthetic
POS SAINSBURY'S 52587 17/02/2026,62.66,GBP,debit,POS,SAINSBURY'S,5300,Groceries,synthetic
POS NEXT  26NOV,233.04,GBP,debit,POS,NEXT,5310,Shopping,synthetic
DD KINGS COLLEGE LONDON REF 64367319.,359.40,GBP,debit,DD,KINGS COLLEGE LONDON,8299,Education,synthetic
FASTER PAYMENT TO SAVINGS,3901.56,GBP,credit,FPS,,,Transfers,synthetic
APPLE PAY SAINSBURY'S BIRMINGHAM,102.13,GBP,debit,APPLE_PAY,SAINSBURY'S,5411,Groceries,synthetic
PAYPAL BRITISH HEART FOUNDATION LONDON 20240818,60.67,GBP,debit,PAYPAL,BRITISH HEART FOUNDATION,8398,Charity,synthetic
CARD WWF REF 63569894.,91.10,GBP,debit,CARD,WWF,8398,Charity,synthetic
CARD PAYMENT CAFE LOCAL LONDON 04/05/2025,4.34,GBP,debit,CARD,CAFE LOCAL,5814,Coffee Shops,synthetic
POS NINTENDO ESHOP.,129.14,GBP,debit,POS,NINTENDO ESHOP,7922,Entertainment,synthetic
POS IKEA  20241113,135.07,GBP,debit,POS,IKEA,5399,Shopping,synthetic
PAYPAL JOHN LEWIS LONDON 2977,10.56,GBP,debit,PAYPAL,JOHN LEWIS,5691,Shopping,synthetic
CARD PAYMENT COSTA COFFEE 83209 13 JAN,4.69,GBP,debit,CARD,COSTA COFFEE,5814,Coffee Shops,synthetic
DIRECT DEBIT OCTOPUS ENERGY,16.59,GBP,debit,DD,OCTOPUS ENERGY,4814,Utilities,synthetic
FPS HMRC PAYMENT,177.76,GBP,debit,FPS,HM REVENUE & CUSTOMS,9211,Taxes,synthetic
POS STAGECOACH,34.18,GBP,debit,POS,STAGECOACH,4111,Transport,synthetic
APPLE PAY SPOTIFY REF 46359866,29.52,GBP,debit,APPLE_PAY,SPOTIFY,4899,Subscriptions,synthetic
POS SAINSBURY'S BIRMINGHAM 91021,79.95,GBP,debit,POS,SAINSBURY'S,5411,Groceries,synthetic
BACS SALARY ACME LIMITED,5039.36,GBP,credit,BACS,ACME LIMITED,,Salary,synthetic
VISA NEXT  20250507,100.90,GBP,debit,CARD,NEXT,5311,Shopping,synthetic
CARD PAYMENT OXFAM 93406,15.95,GBP,debit,CARD,OXFAM,8398,Charity,synthetic
POS NHS PRESCRIPTION ,62.41,GBP,debit,POS,NHS PRESCRIPTION,5912,Healthcare,synthetic
ATM LINK ATM LEEDS 15 OCT,384.18,GBP,debit,ATM,LINK ATM,6010,Cash Withdrawal,synthetic
CARD PAYMENT BHF.,41.95,GBP,debit,CARD,BHF,8398,Charity,synthetic
CARD PRET A MANGER 49283,14.34,GBP,debit,CARD,PRET A MANGER,5812,Coffee Shops,synthetic
FASTER PAYMENT MONTHLY SALARY GLOBEX CORP,3060.95,GBP,credit,FPS,GLOBEX CORP,,Salary,synthetic
PAYPAL XBOX MANCHESTER,49.33,GBP,debit,PAYPAL,XBOX,7832,Entertainment,synthetic
PAYPAL NATIONAL RAIL  15/03/2026,46.25,GBP,debit,PAYPAL,NATIONAL RAIL,4131,Transport,synthetic
VISA MARKS & SPENCER REF 98870276,45.33,GBP,debit,CARD,MARKS & SPENCER,5300,Groceries,synthetic
CARD GETT LEEDS 20230904,25.23,GBP,debit,CARD,GETT,4121,Transport,synthetic
POS SUPERDRUG 55232,102.73,GBP,debit,POS,SUPERDRUG,8021,Healthcare,synthetic
BACS INCOME TAX PAYMENT,471.69,GBP,debit,BACS,,9211,Taxes,synthetic
SQ TIM HORTONS,13.11,GBP,debit,SQUARE,TIM HORTONS,5812,Coffee Shops,synthetic
FOREIGN TRANSACTION FEE,8.06,GBP,debit,SO,,6012,Fees,synthetic
DD SCHOOL FEES  11684,472.63,GBP,debit,DD,SCHOOL FEES,8220,Education,synthetic
CASH WITHDRAWAL ATM 3216 20251002,319.24,GBP,debit,ATM,ATM,6010,Cash Withdrawal,synthetic
VISA TRAVELODGE GATWICK 93974,114.03,GBP,debit,CARD,TRAVELODGE,4411,Travel,synthetic
CARD PAYMENT UDEMY,490.73,GBP,debit,CARD,UDEMY,8220,Education,synthetic
DIRECT DEBIT HALIFAX MORTGAGE 01MAR.,1406.55,GBP,debit,DD,HALIFAX MORTGAGE,6513,Rent/Mortgage,synthetic
CASH WITHDRAWAL CASH MACHINE MANCHESTER 06 JUL,216.34,GBP,debit,ATM,CASH MACHINE,6010,Cash Withdrawal,synthetic
VISA RYANAIR  20260128,718.50,GBP,debit,CARD,RYANAIR,4722,Travel,synthetic
CARD PAYMENT TUI LONDON,288.15,GBP,debit,CARD,TUI,4411,Travel,synthetic
DIRECT DEBIT SCOTTISH POWER,283.09,GBP,debit,DD,SCOTTISH POWER,4899,Utilities,synthetic
PAYPAL SCHOOL FEES.,409.16,GBP,debit,PAYPAL,SCHOOL FEES,8220,Education,synthetic
CARD PAYMENT COURSERA LONDON 48287,489.33,GBP,debit,CARD,COURSERA,8220,Education,synthetic
APPLE PAY BLACK CAB REF 21762188,9.51,GBP,debit,APPLE_PAY,BLACK CAB,4121,Transport,synthetic
DD SUPERDRUG REF 39361875,144.75,GBP,debit,DD,SUPERDRUG,8011,Healthcare,synthetic
FPS TO SAVINGS,2638.50,GBP,credit,FPS,,,Transfers,synthetic
CASH WITHDRAWAL LINK ATM REF 93274386,480.39,GBP,debit,ATM,LINK ATM,6011,Cash Withdrawal,synthetic
TFR TO SAVINGS ACCOUNT,2743.18,GBP,credit,TFR,,,Transfers,synthetic
OVERDRAFT INTEREST CHARGE,2.54,GBP,debit,DD,,6051,Fees,synthetic
POS JD SPORTS 92909,250.39,GBP,debit,POS,JD SPORTS,5691,Shopping,synthetic
TFR TO SAVINGS ACCOUNT,2810.83,GBP,credit,TFR,,,Transfers,synthetic
CARD ROYAL MAIL ,99.98,GBP,debit,CARD,ROYAL MAIL,5999,Other,synthetic
SO LV=  2527,311.06,GBP,debit,SO,LV=,5960,Insurance,synthetic
FPS INCOME TAX PAYMENT,285.89,GBP,debit,FPS,DVLA,9399,Taxes,synthetic
POS DENTAL *,88.22,GBP,debit,POS,DENTAL,8011,Healthcare,synthetic
POS TICKETMASTER LONDON 34094,10.92,GBP,debit,POS,TICKETMASTER,7832,Entertainment,synthetic
DD BUPA  61923,22.95,GBP,debit,DD,BUPA,8011,Healthcare,synthetic
DD COURSERA ,47.75,GBP,debit,DD,COURSERA,8299,Education,synthetic
FASTER PAYMENT PRIME HIRE LTD PAYROLL REF 98234692,1212.55,GBP,credit,FPS,PRIME HIRE LTD,,Salary,synthetic
BACS COUNCIL TAX,108.83,GBP,debit,BACS,DVLA,9399,Taxes,synthetic
CARD APPLE MUSIC 26MAY.,19.57,GBP,debit,CARD,APPLE MUSIC,5734,Subscriptions,synthetic
POS H&M 59845,121.14,GBP,debit,POS,H&M,5399,Shopping,synthetic
LATE PAYMENT FEE,20.12,GBP,debit,SO,LLOYDS,6012,Fees,synthetic
VISA BRITISH AIRWAYS,744.35,GBP,debit,CARD,BRITISH AIRWAYS,4722,Travel,synthetic
TRANSFER TO ISA REF 61981352,3738.57,GBP,credit,TFR,,,Transfers,synthetic
CASH WITHDRAWAL LINK ATM MANCHESTER 22932.,488.78,GBP,debit,ATM,LINK ATM,6011,Cash Withdrawal,synthetic
APPLE PAY SAINSBURYS 74020 //,70.37,GBP,debit,APPLE_PAY,SAINSBURYS,5499,Groceries,synthetic
BACS SAM WILSON 11-22-33 44556677 RENT JUNE,1292.82,GBP,debit,BACS,L&Q,6513,Rent/Mortgage,synthetic
POS BOOTS PHARMACY 58956,58.95,GBP,debit,POS,BOOTS PHARMACY,8011,Healthcare,synthetic
MASTERCARD JET BIRMINGHAM 20260203.,64.30,GBP,debit,CARD,JET,5172,Fuel,synthetic
CARD BETFRED,110.45,GBP,debit,CARD,BETFRED,7832,Entertainment,synthetic
FPS LANDLORD,1123.31,GBP,debit,FPS,LANDLORD,6513,Rent/Mortgage,synthetic
CARD POST OFFICE REF 91507383,50.18,GBP,debit,CARD,POST OFFICE,5999,Other,synthetic
DD CITY LIT REF 34132613,82.28,GBP,debit,DD,CITY LIT,8220,Education,synthetic
STANDING ORDER SSE REF 28080062,42.16,GBP,debit,SO,SSE,4899,Utilities,synthetic
PAYPAL UBER 47126 09/06/2024,42.57,GBP,debit,PAYPAL,UBER,4121,Transport,synthetic
DD SCHOOL FEES 70830 20260725,348.56,GBP,debit,DD,SCHOOL FEES,8299,Education,synthetic
CARD TRAVELODGE 63295,783.04,GBP,debit,CARD,TRAVELODGE,4722,Travel,synthetic
FPS MONTHLY SALARY ACME LIMITED,2552.59,GBP,credit,FPS,ACME LIMITED,,Salary,synthetic
BACS PASSPORT OFFICE 15161 21 JUN,168.08,GBP,debit,BACS,PASSPORT OFFICE,7299,Other,synthetic
BACS JOHN SMITH 20-45-67 12345678 RENT SEPTEMBER,1306.39,GBP,debit,BACS,MONTHLY RENT,6513,Rent/Mortgage,synthetic
POS BOOTS MANCHESTER 43535,105.49,GBP,debit,POS,BOOTS,8021,Healthcare,synthetic
FPS TO SAVINGS,4659.34,GBP,credit,FPS,,,Transfers,synthetic
MONTHLY ACCOUNT FEE,25.19,GBP,debit,DD,HSBC,6051,Fees,synthetic
VISA SUBWAY REF 72546007 *,32.21,GBP,debit,CARD,SUBWAY,5814,Dining,synthetic
CARD PAYMENT CAFE LOCAL OXFORD,12.93,GBP,debit,CARD,CAFE LOCAL,5812,Coffee Shops,synthetic
FPS TO SAVINGS,1937.52,GBP,credit,FPS,,,Transfers,synthetic
MASTERCARD EASYJET REF 78680335,875.92,GBP,debit,CARD,EASYJET,4722,Travel,synthetic
TRANSFER TO EASY ACCESS SAVER REF 63451271,1995.50,GBP,credit,TFR,,,Transfers,synthetic
MONTHLY ACCOUNT FEE,18.59,GBP,debit,SO,NATIONWIDE,6051,Fees,synthetic
STANDING ORDER HOUSING ASSOCIATION 59470,2082.16,GBP,debit,SO,HOUSING ASSOCIATION,6513,Rent/Mortgage,synthetic
ACCOUNT FEE HALIFAX,34.55,GBP,debit,SO,HALIFAX,6012,Fees,synthetic
CARD MURCO BIRMINGHAM,108.80,GBP,debit,CARD,MURCO,5542,Fuel,synthetic
CARD PAYMENT TRAVELODGE,813.28,GBP,debit,CARD,TRAVELODGE,4511,Travel,synthetic
SO ADMIRAL 74595 20 AUG,267.64,GBP,debit,SO,ADMIRAL,6300,Insurance,synthetic
MASTERCARD RYANAIR *,82.55,GBP,debit,CARD,RYANAIR,4411,Travel,synthetic
VISA VUE CINEMA  13MAR,117.80,GBP,debit,CARD,VUE CINEMA,7832,Entertainment,synthetic
BACS DVLA VEHICLE TAX,207.48,GBP,debit,BACS,COUNCIL TAX,9399,Taxes,synthetic
FPS SELF ASSESSMENT TAX,185.21,GBP,debit,FPS,DVLA,9211,Taxes,synthetic
BACS DENTIST REF 35783955,74.41,GBP,debit,BACS,DENTIST,8049,Healthcare,synthetic
BACS NHS  09/08/2026,135.35,GBP,debit,BACS,NHS,5912,Healthcare,synthetic
BACS BOOTS PHARMACY 9065,30.82,GBP,debit,BACS,BOOTS PHARMACY,8011,Healthcare,synthetic
POS MCDONALDS LONDON 59370,18.72,GBP,debit,POS,MCDONALDS,5812,Dining,synthetic
PAYPAL GETT 61583 20230522,57.79,GBP,debit,PAYPAL,GETT,4121,Transport,synthetic
ACCOUNT FEE HSBC,13.12,GBP,debit,DD,HSBC,6012,Fees,synthetic
